name,year,made_at,size,catalog_no,filename
"Portrait Of Trabuc, An Attendant At Saint-Paul Hospital",1889,Saint-Rémy,61 x 46cm,F 629 - JH 1774,"deep685_portrait_of_trabuc,_an_attendant_at_saint-paul_hospital.jpg"
"Pietã , After Delacroix",1889,Saint-Rémy,73 x 60.5cm,F 630 - JH 1775,"deep686_pietà,_after_delacroix.jpg"
"Pietã , After Delacroix",1889,Saint-Rémy,42 x 34cm,F 757 - JH 1776,"deep687_pietà,_after_delacroix.jpg"
Portrait Of Madame Trabuc,1889,Saint-Rémy,Oil on canvas on panel 64 x 49cm,F 631 - JH 1777,deep688_portrait_of_madame_trabuc.jpg
"Half Figure Of An Angel, After Rembrandt",1889,Saint-Rémy,54 x 64cm,F 624 - JH 1778,"deep689_half_figure_of_an_angel,_after_rembrandt.jpg"
Portrait Of A Young Peasant,1889,Saint-Rémy,61 x 50cm,F 531 - JH 1779,deep690_portrait_of_a_young_peasant.jpg
"Peasant Woman Binding Sheaves, After Millet",1889,Saint-Rémy,43 x 33cm,F 700 - JH 1781,"deep691_peasant_woman_binding_sheaves,_after_millet.jpg"
"Reaper With Sickle, After Millet",1889,Saint-Rémy,44 x 33cm,F 687 - JH 1782,"deep692_reaper_with_sickle,_after_millet.jpg"
"The Reaper, After Millet",1889,Saint-Rémy,43.5 x 25cm,F 688 - JH 1783,"deep693_the_reaper,_after_millet.jpg"
"The Thresher, After Millet",1889,Saint-Rémy,44 x 27.5cm,F 692 - JH 1784,"deep694_the_thresher,_after_millet.jpg"
"The Sheaf-Binder, After Millet",1889,Saint-Rémy,44.5 x 32cm,F 693 - JH 1785,"deep695_the_sheaf-binder,_after_millet.jpg"
"The Spinner, After Millet",1889,Saint-Rémy,40 x 25.5cm,F 696 - JH 1786,"deep696_the_spinner,_after_millet.jpg"
"The Sheaf-Shearers, After Millet",1889,Saint-Rémy,43.5 x 29.5cm,F 634 - JH 1787,"deep697_the_sheaf-shearers,_after_millet.jpg"
"Peasant Woman Cutting Straw, After Millet",1889,Saint-Rémy,40.5 x 26.5cm,F 697 - JH 1788,"deep698_peasant_woman_cutting_straw,_after_millet.jpg"
"Peasant Woman With A Rake, After Millet",1889,Saint-Rémy,39 x 24cm,F 698 - JH 1789,"deep699_peasant_woman_with_a_rake,_after_millet.jpg"
Wheat Field With Cypresses,1889,Saint-Rémy,51.5 x 65cm,F 743 - JH 1790,deep700_wheat_field_with_cypresses.jpg
Olive Trees,1889,Saint-Rémy,53.5 x 64.5cm,F 711 - JH 1791,deep701_olive_trees.jpg
Wheat Field Behind Saint-Paul Hospital With A Reaper,1889,Saint-Rémy,59.5 x 72.5cm,F 619 - JH 1792,deep702_wheat_field_behind_saint-paul_hospital_with_a_reaper.jpg
Bedroom In Arles,1889,Saint-Rémy,56.5 x 74cm,F 483 - JH 1793,deep703_bedroom_in_arles.jpg
Entrance To A Quarry Near Saint-Rémy,1889,Saint-Rémy,52 x 64cm,F 635 - JH 1767,deep704_entrance_to_a_quarry_near_saint-rémy.jpg
Field With Ploughman And Mill,1889,Saint-Rémy,54 x 67cm,F 706 - JH 1794,deep705_field_with_ploughman_and_mill.jpg
Enclosed Field With Peasant,1889,Saint-Rémy,73.5 x 92cm,F 641 - JH 1795,deep706_enclosed_field_with_peasant.jpg
The Mulberry Tree,1889,Saint-Rémy,54 x 65cm,F 637 - JH 1796,deep707_the_mulberry_tree.jpg
Two Poplars On A Road Through The Hills,1889,Saint-Rémy,61.6 x 45.7cm,F 638 - JH 1797,deep708_two_poplars_on_a_road_through_the_hills.jpg
Trees In The Garden Of Saint-Paul Hospital,1889,Saint-Rémy,73 x 60cm,F 642 - JH 1798,deep709_trees_in_the_garden_of_saint-paul_hospital.jpg
Trees In The Garden Of Saint-Paul Hospital,1889,Saint-Rémy,90.2 x 73.3cm,F 643 - JH 1799,deep710_trees_in_the_garden_of_saint-paul_hospital.jpg
The Garden Of Saint-Paul Hospital,1889,Saint-Rémy,65 x 49cm,F 640 - JH 1800,deep711_the_garden_of_saint-paul_hospital.jpg
Trees In The Garden Of Saint-Paul Hospital,1889,Saint-Rémy,42 x 32cm,F 731 - JH 1801,deep712_trees_in_the_garden_of_saint-paul_hospital.jpg
Les Peiroulets Ravine,1889,Saint-Rémy,32 x 41cm,F 645 - JH 1803,deep713_les_peiroulets_ravine.jpg
Les Peiroulets Ravine,1889,Saint-Rémy,73 x 92cm,F 662 - JH 1804,deep714_les_peiroulets_ravine.jpg
"The Man Is At Sea, After Demont-Breton",1889,Saint-Rémy,66 x 51cm,F 644 - JH 1805,"deep715_the_man_is_at_sea,_after_demont-breton.jpg"
Portrait Of A Patient In Saint-Paul Hospital,1889,Saint-Rémy,32.5 x 23.5cm,F 703 - JH 1832,deep716_portrait_of_a_patient_in_saint-paul_hospital.jpg
"Two Peasants Digging, After Millet",1889,Saint-Rémy,72 x 92cm,F 648 - JH 1833,"deep717_two_peasants_digging,_after_millet.jpg"
"Evening: The Watch, After Millet",1889,Saint-Rémy,74.5 x 93.5cm,F 647 - JH 1834,deep718_evening.jpg
"The Sower, After Millet",1889,Saint-Rémy,80.8 x 66cm,F 690 - JH 1837,"deep719_the_sower,_after_millet.jpg"
The Garden Of Saint-Paul Hospital,1889,Saint-Rémy,50 x 63cm,F 730 - JH 1841,deep720_the_garden_of_saint-paul_hospital.jpg
The Walk: Falling Leaves,1889,Saint-Rémy,73.5 x 60.5cm,F 651 - JH 1844,deep721_the_walk.jpg
View Of The Asylum And Chapel Of Saint-Rémy,1889,Saint-Rémy,44.5 x 60cm,F 803 - JH 2124,deep722_view_of_the_asylum_and_chapel_of_saint-rémy.jpg
"The Sower, After Millet",1889,Saint-Rémy,64 x 55cm,F 689 - JH 1836,"deep723_the_sower,_after_millet.jpg"
"Evening: The End Of The Day, After Millet",1889,Saint-Rémy,72 x 94cm,F 649 - JH 1835,deep724_evening.jpg
"The Shepherdess, After Millet",1889,Saint-Rémy,52.7 x 40.7cm,F 699 - JH 1838,"deep725_the_shepherdess,_after_millet.jpg"
Wheat Field In Rain,1889,Saint-Rémy,74.3 x 93.1cm,F 650 - JH 1839,deep726_wheat_field_in_rain.jpg
Pine Trees With Figure In The Garden Of Saint-Paul Hospital,1889,Saint-Rémy,58 x 45cm,F 653 - JH 1840,deep727_pine_trees_with_figure_in_the_garden_of_saint-paul_hospital.jpg
Stone Bench In The Garden Of Saint-Paul Hospital,1889,Saint-Rémy,39.5 x 47.5cm,F 732 - JH 1842,deep728_stone_bench_in_the_garden_of_saint-paul_hospital.jpg
Pine Trees Against A Red Sky With Setting Sun,1889,Saint-Rémy,92 x 73cm,F 652 - JH 1843,deep729_pine_trees_against_a_red_sky_with_setting_sun.jpg
The Garden Of Saint-Paul Hospital With Figure,1889,Saint-Rémy,61 x 50cm,F 733 - JH 1845,deep730_the_garden_of_saint-paul_hospital_with_figure.jpg
Study Of Pine Trees,1889,Saint-Rémy,46 x 51cm,F 742 - JH 1846,deep731_study_of_pine_trees.jpg
Landscape With Trees And Figures,1889,Saint-Rémy,49.9 x 65.4cm,F 818 - JH 1848,deep732_landscape_with_trees_and_figures.jpg
The Garden Of Saint-Paul Hospital,1889,Saint-Rémy,73.1 x 92.6cm,F 660 - JH 1849,deep733_the_garden_of_saint-paul_hospital.jpg
Olive Grove: Orange Sky,1889,Saint-Rémy,74 x 93cm,F 586 - JH 1854,deep734_olive_grove.jpg
Olive Grove: Pale Blue Sky,1889,Saint-Rémy,72.7 x 92.1cm,F 708 - JH 1855,deep735_olive_grove.jpg
Olive Trees With Yellow Sky And Sun,1889,Saint-Rémy,73.7 x 92.7cm,F 710 - JH 1856,deep736_olive_trees_with_yellow_sky_and_sun.jpg
Olive Trees: Bright Blue Sky,1889,Saint-Rémy,49 x 63cm,F 714 - JH 1858,deep737_olive_trees.jpg
The Large Plane Trees,1889,Saint-Rémy,73.4 x 91.8cm,F 657 - JH 1860,deep738_the_large_plane_trees.jpg
The Road Menders,1889,Saint-Rémy,71 x 93cm,F 658 - JH 1861,deep739_the_road_menders.jpg
The Diggers,1889,Saint-Rémy,65.1 x 50.2cm,F 701 - JH 1847,deep740_the_diggers.jpg
Olive Grove,1889,Saint-Rémy,73 x 92cm,F 707 - JH 1857,deep741_olive_grove.jpg
Wheat Field Behind Saint-Paul Hospital,1889,Saint-Rémy,24 x 33.7cm,F 722 - JH 1872,deep742_wheat_field_behind_saint-paul_hospital.jpg
Olive Trees Against A Slope Of A Hill,1889,Saint-Rémy,33.5 x 40cm,F 716 - JH 1878,deep743_olive_trees_against_a_slope_of_a_hill.jpg
The Garden Of Saint-Paul Hospital,1889,Saint-Rémy,71.5 x 90.5cm,F 659 - JH 1850,deep744_the_garden_of_saint-paul_hospital.jpg
Olive Grove With Picking Figures,1889,Saint-Rémy,73 x 92cm,F 587 - JH 1853,deep745_olive_grove_with_picking_figures.jpg
Enclosed Field With Rising Sun,1889,Saint-Rémy,71 x 90.5cm,F 737 - JH 1862,deep746_enclosed_field_with_rising_sun.jpg
A Meadow In The Mountains: Le Mas De Saint-Paul,1889,Saint-Rémy,73 x 91.5cm,F 721 - JH 1864,deep747_a_meadow_in_the_mountains.jpg
